time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
3.446896601253524e-004	2.641461e+001	3.164818e+000	1.611787e-002	1.799863e+001	2.115748e-002	4.170667e-005
3.486896601252454e-004	2.641376e+001	3.594539e+000	4.047314e-003	1.799863e+001	2.115658e-002	3.986054e-005
3.526896601251384e-004	2.641291e+001	4.044144e+000	-8.277550e-003	1.799862e+001	2.115574e-002	3.800676e-005
3.566896601250313e-004	2.641206e+001	4.484646e+000	-2.008231e-002	1.799862e+001	2.115487e-002	3.626156e-005
3.606896601249243e-004	2.641121e+001	4.888995e+000	-3.062522e-002	1.799862e+001	2.115391e-002	3.472852e-005
3.646896601248173e-004	2.641035e+001	5.233651e+000	-3.924383e-002	1.799861e+001	2.115277e-002	3.349362e-005
3.686896601247103e-004	2.640950e+001	5.505996e+000	-4.559181e-002	1.799861e+001	2.115143e-002	3.259470e-005
3.716361966599191e-004	2.640887e+001	5.654543e+000	-4.865510e-002	1.799860e+001	2.115029e-002	3.216448e-005
3.732832406764253e-004	2.640853e+001	5.712064e+000	-4.958763e-002	1.799860e+001	2.114958e-002	3.203424e-005
3.747918412460027e-004	2.640820e+001	5.745933e+000	-4.987442e-002	1.799860e+001	2.114888e-002	3.199450e-005
3.764226275195792e-004	2.640786e+001	5.763205e+000	-4.960916e-002	1.799859e+001	2.114806e-002	3.203203e-005
3.788153009127715e-004	2.640735e+001	5.751210e+000	-4.813085e-002	1.799859e+001	2.114676e-002	3.224012e-005
3.826896309073735e-004	2.640652e+001	5.656421e+000	-4.360386e-002	1.799858e+001	2.114443e-002	3.288011e-005
3.866896309072665e-004	2.640567e+001	5.469347e+000	-3.652601e-002	1.799857e+001	2.114177e-002	3.388967e-005
3.906896309071595e-004	2.640482e+001	5.191653e+000	-2.717576e-002	1.799856e+001	2.113885e-002	3.524011e-005
3.946896309070525e-004	2.640397e+001	4.837193e+000	-1.611796e-002	1.799854e+001	2.113570e-002	3.686134e-005
3.986896309069454e-004	2.640312e+001	4.425810e+000	-4.047404e-003	1.799853e+001	2.113239e-002	3.865991e-005
4.026896309068384e-004	2.640227e+001	3.981840e+000	8.277462e-003	1.799852e+001	2.112898e-002	4.052615e-005
4.066896309067314e-004	2.640141e+001	3.532917e+000	2.008222e-002	1.799850e+001	2.112555e-002	4.234050e-005
4.106896309066244e-004	2.640056e+001	3.108237e+000	3.062515e-002	1.799849e+001	2.112219e-002	4.398197e-005
4.146896309065173e-004	2.639971e+001	2.736402e+000	3.924378e-002	1.799848e+001	2.111897e-002	4.533776e-005
4.186896309064103e-004	2.639886e+001	2.436113e+000	4.559176e-002	1.799846e+001	2.111596e-002	4.634367e-005
4.216361856070883e-004	2.639824e+001	2.269716e+000	4.865509e-002	1.799846e+001	2.111390e-002	4.683107e-005
