time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
1.649665144099854e-002	2.651003e+001	5.448199e+000	-3.975448e-002	1.799961e+001	2.140322e-002	3.338565e-005
1.689665144099850e-002	2.642421e+001	5.658901e+000	-4.594855e-002	1.799875e+001	2.118875e-002	3.252282e-005
1.717407176692509e-002	2.636515e+001	5.751744e+000	-4.873256e-002	1.799817e+001	2.104101e-002	3.214238e-005
1.734130577644710e-002	2.632978e+001	5.779791e+000	-4.960364e-002	1.799781e+001	2.095245e-002	3.202734e-005
1.752168548313970e-002	2.629182e+001	5.786330e+000	-4.984986e-002	1.799743e+001	2.085732e-002	3.200051e-005
1.768531045245281e-002	2.625755e+001	5.770961e+000	-4.944891e-002	1.799709e+001	2.077139e-002	3.206348e-005
1.795148154177029e-002	2.620215e+001	5.701653e+000	-4.750344e-002	1.799653e+001	2.063236e-002	3.234747e-005
1.835148154177024e-002	2.611954e+001	5.519770e+000	-4.233772e-002	1.799570e+001	2.042480e-002	3.309250e-005
1.875148154177020e-002	2.603768e+001	5.252622e+000	-3.476755e-002	1.799487e+001	2.021888e-002	3.418612e-005
1.915148154177015e-002	2.595665e+001	4.905268e+000	-2.501282e-002	1.799406e+001	2.001481e-002	3.560733e-005
1.955148154177011e-002	2.587710e+001	4.503295e+000	-1.383178e-002	1.799326e+001	1.981428e-002	3.725159e-005
1.966199707260685e-002	2.585734e+001	4.383741e+000	-1.053293e-002	1.799306e+001	1.976443e-002	3.774068e-005
1.971216015956734e-002	2.585170e+001	4.327590e+000	-8.991373e-003	1.799300e+001	1.975012e-002	3.797051e-005
1.976074773106884e-002	2.585143e+001	4.272673e+000	-7.486448e-003	1.799300e+001	1.974927e-002	3.819542e-005
1.980524773212311e-002	2.585687e+001	4.222084e+000	-6.101692e-003	1.799305e+001	1.976278e-002	3.840278e-005
1.985713478708484e-002	2.587131e+001	4.162783e+000	-4.480508e-003	1.799320e+001	1.979879e-002	3.864608e-005
1.993677261992066e-002	2.590905e+001	4.071315e+000	-1.984340e-003	1.799357e+001	1.989309e-002	3.902181e-005
2.006198039786789e-002	2.599907e+001	3.927099e+000	1.939934e-003	1.799447e+001	2.011829e-002	3.961511e-005
2.026209834782566e-002	2.619420e+001	3.698472e+000	8.127755e-003	1.799643e+001	2.060667e-002	4.055713e-005
2.061961375247678e-002	2.659152e+001	3.302854e+000	1.875436e-002	1.800040e+001	2.160127e-002	4.218865e-005
2.095784483999563e-002	2.693616e+001	2.953938e+000	2.804341e-002	1.800385e+001	2.246400e-002	4.362689e-005
2.124300996104855e-002	2.714305e+001	2.689867e+000	3.501087e-002	1.800593e+001	2.298174e-002	4.471327e-005
2.143775261766945e-002	2.721706e+001	2.529485e+000	3.921394e-002	1.800667e+001	2.316674e-002	4.537121e-005
2.151460220911416e-002	2.722466e+001	2.472589e+000	4.069841e-002	1.800674e+001	2.318564e-002	4.560395e-005
2.158067888141968e-002	2.722017e+001	2.427259e+000	4.187831e-002	1.800670e+001	2.317424e-002	4.578901e-005
2.161648385351578e-002	2.721488e+001	2.403927e+000	4.248498e-002	1.800664e+001	2.316091e-002	4.588415e-005
2.166054839590781e-002	2.720627e+001	2.376532e+000	4.319685e-002	1.800656e+001	2.313926e-002	4.599577e-005
2.170308003400012e-002	2.719707e+001	2.351088e+000	4.385787e-002	1.800646e+001	2.311614e-002	4.609938e-005
2.172485281592040e-002	2.719215e+001	2.338531e+000	4.418406e-002	1.800641e+001	2.310376e-002	4.615049e-005
2.174650808173473e-002	2.718716e+001	2.326429e+000	4.449846e-002	1.800636e+001	2.309123e-002	4.619974e-005
2.176706070534040e-002	2.718241e+001	2.315258e+000	4.478869e-002	1.800632e+001	2.307929e-002	4.624519e-005
2.179348971590378e-002	2.717629e+001	2.301360e+000	4.514985e-002	1.800626e+001	2.306390e-002	4.630173e-005
